t,x,y,z,r
58777,6800000,0,0,6800000
58777.0005787037,6789212.04137499,0.0476746866577645,382606.715694279,6799984.41480902
58777.0011574074,6756882.76639237,0.191305500812873,763995.575476378,6799937.79075351
58777.0017361111,6703115.80242977,0.431334854071678,1142953.14430535,6799860.53907441
58777.0023148148,6628083.42840916,0.767571678358844,1518273.95214893,6799753.35785988
58777.0028935185,6532025.97305083,1.19918207848119,1888764.43144461,6799617.223793
58777.0034722222,6415250.9779684,1.72468325760396,2253246.80543334,6799453.38071547
58777.0040509259,6278132.13049336,2.34194078186965,2610562.91184921,6799263.32514496
58777.0046296296,6121107.97236683,3.04816923386084,2959577.94706059,6799048.78891963
58777.0052083333,5944680.39158694,3.83993628807982,3299184.11652516,6798811.71918041
58777.005787037,5749412.90572425,4.71317022519092,3628304.17830205,6798554.25592934
58777.0063657407,5535928.74594549,5.66317088541776,3945894.86729738,6798278.70743628
58777.0069444444,5304908.75171973,6.68462404563319,4250950.18901929,6797987.52379264
58777.0075231481,5057089.08683711,7.77161918890471,4542504.57263575,6797683.2689295
58777.0081018519,4793258.7878424,8.9176706200597,4819635.87427764,6797368.59144272
58777.0086805556,4514257.15625416,10.1157418663009,5081468.22269973,6797046.1945761
58777.0092592593,4220971.00623753,11.3582732871151,5327174.70039809,6796718.80573181
58777.009837963,3914331.77928936,12.6372128045573,5555979.85450769,6796389.14587809
58777.0104166667,3595312.53759052,13.9440496508575,5767162.03264239,6796059.89922852
58777.0109953704,3264924.84732544,15.2698510180372,5960055.53992825,6795733.68356542
58777.0115740741,2924215.56310894,16.6053014811156,6134052.61421089,6795413.02156916
58777.0121527778,2574263.52425888,17.9407450544162,6288605.21721303,6795100.31350609
58777.0127314815,2216176.17318637,19.2662297287042,6423226.64006766,6794797.81160889
58777.0133101852,1851086.10582765,20.5715543247337,6537492.92212207,6794507.59646404
58777.0138888889,1480147.56351268,21.846317487493,6631044.08235548,6794231.55569425
58777.0144675926,1104532.87522281,23.0799686339649,6703585.16303895,6793971.36519551
58777.0150462963,725428.85878522,24.2618606558617,6754887.08545284,6793728.47315557
58777.015625,344033.189173874,25.3813041676349,6784787.31758001,6793504.08704462
58777.0162037037,-38449.2582409646,26.4276230790869,6793190.35371425,6793299.16373142
58777.0167824074,-420810.081869757,27.3902112610114,6780068.00587453,6793114.4028374
58777.0173611111,-801841.038037275,28.2585900617204,6745459.50682529,6792950.24339932
58777.0179398148,-1180337.72764649,29.0224664220499,6689471.42438607,6792806.863869
58777.0185185185,-1555103.27788828,29.6717913266174,6612277.38659377,6792684.18543352
58777.0190972222,-1924952.01141182,30.1968183200072,6514117.61716871,6792581.87859801
58777.0196759259,-2288713.09507317,30.5881618079817,6395298.28067138,6792499.37292992
58777.0202546296,-2645234.16006596,30.8368548563716,6256190.636731,6792435.86982251
58777.0208333333,-2993384.8849161,30.9344061939905,6097230.00276204,6792390.358098
58777.021412037,-3332060.53222921,30.8728561206743,5918914.52477682,6792361.63223122
58777.0219907407,-3660185.42970842,30.6448310181748,5721803.7561236,6792348.31294591
58777.0225694444,-3976716.38535447,30.2435961596695,5506517.04437119,6792348.86989854
58777.0231481481,-4280646.02629937,29.6631065137759,5273731.72703178,6792361.6461474
58777.0237268519,-4571006.05015017,28.8980552410584,5024181.13746099,6792384.88407153
58777.0243055556,-4846870.37740272,27.9439195851756,4758652.42291712,6792416.75239821
58777.0248842593,-5107358.19287136,26.7970038678322,4477984.17777695,6792455.37397405
58777.025462963,-5351636.86408397,25.4544793049447,4183063.89560488,6792498.8539111
58777.0260416667,-5578924.72409808,23.9144203737425,3874825.24508864,6792545.30774002
58777.0266203704,-5788493.70634173,22.1758374735676,3554245.17576531,6792592.88919191
58777.0271990741,-5979671.81906519,20.2387056397152,3222340.8607352,6792639.8172504
58777.0277777778,-6151845.44720824,18.1039890880977,2880166.48477718,6792684.40211219
58777.0283564815,-6304461.46993555,15.7736613886594,2528809.8874158,6792725.06972295
58777.0289351852,-6437029.18254426,13.2507210886217,2169389.07183153,6792760.38456267
58777.0295138889,-6549122.0122376,10.5392026302006,1803048.59155277,6792789.07038829
58777.0300925926,-6640379.01806427,7.64418243348078,1430955.82805776,6792810.02865964
58777.0306712963,-6710506.16635302,4.57178004201474,1054297.17343108,6792822.35441113
58777.03125,-6759277.37412858,1.32915425592702,674274.133078755,6792825.34936292
58777.0318287037,-6786535.31423529,-2.07550579383448,292099.36437958,6792818.53209976
58777.0324074074,-6792191.97728414,-5.63299464850697,-91007.3322686238,6792801.64518598
58777.0329861111,-6776228.98697647,-9.33310959168703,-473823.053037147,6792774.65912249
58777.0335648148,-6738697.66686536,-13.164674748866,-855125.843617566,6792737.7730936
58777.0341435185,-6679718.85815004,-17.1155701514968,-1233698.74812627,6792691.4124923
58777.0347222222,-6599482.48964197,-21.1727656746968,-1608333.83659429,6792636.22325481
58777.0353009259,-6498246.90256352,-25.3223597330985,-1977836.19390066,6792573.06307566
58777.0358796296,-6376337.9343195,-29.5496225961676,-2341027.85340343,6792502.98961478
58777.0364583333,-6234147.76679161,-33.8390441629063,-2696751.6590909,6792427.24584868
58777.037037037,-6072133.54601478,-38.174386016437,-3043875.04080338,6792347.24275203
58777.0376157407,-5890815.78131765,-42.5387375607684,-3381293.68789065,6792264.53953318
