t,x,y,z,r
58777,6800000,0,0,6800000
58777.0005787037,6789212.03849425,0.0476746993646809,382606.869138708,6799984.42056652
58777.0011574074,6756882.7434527,0.191305602088465,763996.187984274,6799937.83677641
58777.0017361111,6703115.72560922,0.431335192788664,1142954.51777029,6799860.69420553
58777.0023148148,6628083.2482893,0.767572469823422,1518276.38245342,6799753.72493517
58777.0028935185,6532025.62614131,1.19918359422116,1888768.20643127,6799617.93913407
58777.0034722222,6415250.38865531,1.72468581190202,2253252.20323391,6799454.61346155
58777.0040509259,6278131.21334388,2.34194471560279,2610570.19965035,6799265.27643029
58777.0046296296,6121106.63470906,3.04817489638364,2959587.38037931,6799051.69090433
58777.0052083333,5944678.53627028,3.83994401804393,3299195.93905131,6798815.83394196
58777.005787037,5749410.43396535,4.71318033129785,3628318.62234038,6798559.87422585
