t,x,y,z
58739,6800000,0,0
58739.1,6799999.95683671,-7.62976253327642e-08,765.619998353689
58739.2,6799999.82734761,3.3358330085381e-07,1531.23998669407
58739.3,6799999.61153271,8.19017580589044e-07,2296.85995458875
58739.4,6799999.30939196,1.80190362603583e-06,3062.47989248698
58739.5,6799998.92092521,2.34345367641759e-06,3828.09979046691
58739.6,6799998.44613183,2.29583933898812e-06,4593.71963885112
58739.7,6799997.88501031,1.8010428517363e-06,5359.33942777305
58739.8,6799997.23756058,3.01924507302443e-06,6124.95914813389
58739.9,6799996.50378757,4.97866589023284e-06,6890.5787896568
58740,6799995.6836906,5.90964651391486e-06,7656.19834301073
58740.1,6799994.77726774,6.65127260728372e-06,8421.81779879532
58740.2,6799993.78451915,7.87282733497701e-06,9187.43714706797
58740.3,6799992.70544486,9.12002110247673e-06,9953.05637741472
58740.4,6799991.54004489,1.08349833686984e-05,10718.675480292
58740.5,6799990.28831901,1.20881121800294e-05,11484.2944457874
58740.6,6799988.95026658,1.2744309551979e-05,12249.9132642058
58740.7,6799987.52588606,1.29719888331882e-05,13015.5319257006
58740.8,6799986.01517756,1.49950867390531e-05,13781.1504211552
58740.9,6799984.41814599,1.76690397197621e-05,14546.768740297
58741,6799982.73479057,1.92769970228988e-05,15312.3868738328
58741.1,6799980.96510947,2.07165249642965e-05,16078.0048123285
58741.2,6799979.10910285,2.26342885981024e-05,16843.6225458096
58741.3,6799977.16677072,2.45246284322987e-05,17609.2400638814
58741.4,6799975.13811318,2.6846745298971e-05,18374.8573570087
58741.5,6799973.0231299,2.86906714268164e-05,19140.4744152921
58741.6,6799970.82182028,2.99339528027693e-05,19906.0912290195
58741.7,6799968.53418272,3.0784415690889e-05,20671.7077883633
58741.8,6799966.16021755,3.35132653336129e-05,21437.3240841769
58741.9,6799963.69992961,3.6811301793639e-05,22202.9401062
58742,6799961.15331803,3.90032079805805e-05,22968.5558451652
58742.1,6799958.52038109,4.10312553654282e-05,23734.1712916124
58742.2,6799955.80111893,4.35387711883389e-05,24499.786435539
58742.3,6799952.99553155,4.59654796489398e-05,25265.401266572
58742.4,6799950.10361914,4.87839821904288e-05,26031.0157751838
58742.5,6799947.12538128,5.11135470764127e-05,26796.6299514902
58742.6,6799944.06081738,5.28437607654422e-05,27562.2437857635
58742.7,6799940.90992582,5.42297496632864e-05,28327.8572681933
58742.8,6799937.67270715,5.7570048933803e-05,29093.4703895973
58742.9,6799934.34916612,6.14107961730789e-05,29859.083139735
58743,6799930.93930175,6.41095939402041e-05,30624.6955093514
58743.1,6799927.44311243,6.66348855188751e-05,31390.3074889681
58743.2,6799923.86059832,6.96425679846571e-05,32155.9190685551
58743.3,6799920.19175938,7.25196032680867e-05,32921.530237766
58743.4,6799916.43659586,7.5745367263061e-05,33687.1409870783
58743.5,6799912.5951073,7.84759194453602e-05,34452.7513066234
58743.6,6799908.66729312,8.06120627469908e-05,35218.3611866579
58743.7,6799904.6531517,8.24618220113056e-05,35983.9706173882
58743.8,6799900.5526838,8.63310456019116e-05,36749.5795895957
58743.9,6799896.36589405,9.06434090917888e-05,37515.1880930658
58744,6799892.09278135,9.37882713966471e-05,38280.7961185439
58744.1,6799887.73334422,9.67393028245154e-05,39046.4036565411
58744.2,6799883.28758284,0.000100176094957481,39812.010696998
58744.3,6799878.75549711,0.00010344378835869,40577.6172296
58744.4,6799874.13708736,0.000107018131724246,41343.2232448249
58744.5,6799869.43235309,0.0001100931283627,42108.82873282
58744.6,6799864.64129374,0.000112578652740517,42874.4336838245
58744.7,6799859.76390769,0.000114840077151393,43640.0380880639
58744.8,6799854.80019594,0.000119172952162533,44405.6419362866
58744.9,6799849.75016295,0.00012390093042365,45171.2452183058
58745,6799844.61380751,0.000127451884680799,45936.847924859
58745.1,6799839.39112824,0.00013078144323955,46702.4500464549
58745.2,6799834.0821254,0.00013459712635137,47468.0515730012
58745.3,6799828.68679878,0.000138220068978315,48233.6524942204
58745.4,6799823.20514881,0.000142111585854202,48999.2528005827
58745.5,6799817.63717495,0.000145499597626228,49764.852482251
58745.6,6799811.98287667,0.000148298880677704,50530.4515294456
58745.7,6799806.24225236,0.000150925694635035,51296.0499324181
58745.8,6799800.41530326,0.000155654456154017,52061.6476818876
58745.9,6799794.50203366,0.000160739198204182,52827.2447676902
58746,6799788.50244221,0.000164658444547457,53592.8411805542
58746.1,6799782.41652764,0.000168324633914263,54358.4369109932
58746.2,6799776.24429027,0.000172469113324969,55124.0319488776
58746.3,6799769.98572982,0.000176408338215435,55889.6262839721
58746.4,6799763.64084679,0.000180581744692719,56655.2199067292
58746.5,6799757.20964061,0.000184246419932812,57420.8128073264
58746.6,6799750.69211078,0.000187316952575054,58186.404975964
58746.7,6799744.08825573,0.000190237489022716,58951.9964029313
58746.8,6799737.3980769,0.000195258164305495,59717.5870789189
58746.9,6799730.62157844,0.000200601563717346,60483.1769937768
58747,6799723.75875885,0.000204811868895006,61248.7661382292
58747.1,6799716.80961693,0.000208738309040386,62014.3545027984
58747.2,6799709.7741531,0.000213123299753117,62779.9420773139
58747.3,6799702.65236701,0.000217298020360043,63545.5288515884
58747.4,6799695.44425919,0.000221676146093527,64311.1148160447
58747.5,6799688.1498291,0.000225540096879387,65076.6999608738
58747.6,6799680.76907622,0.000228799632916078,65842.2842762557
58747.7,6799673.30199902,0.000231902090054837,66607.8677525275
58747.8,6799665.74859916,0.000237072393904292,67373.4503803477
58747.9,6799658.10888067,0.000242529212732868,68139.032149575
58748,6799650.38284187,0.000246897656269649,68904.6130509385
58748.1,6799642.57048164,0.000250958787779208,69670.1930749683
58748.2,6799634.6718005,0.000255446702056076,70435.7722114513
58748.3,6799626.68679801,0.000259726304033813,71201.3504502534
58748.4,6799618.61547478,0.000264182972227806,71966.927781757
58748.5,6799610.45783024,0.00026812174943726,72732.5041961647
58748.6,6799602.2138639,0.000271444044211939,73498.0796836371
58748.7,6799593.8835742,0.00027459664087419,74263.6542345584
58748.8,6799585.46696302,0.000279773991492865,75029.227839551
58748.9,6799576.96403433,0.000285188940623299,75794.8004884891
58749,6799568.3747863,0.000289560533423565,76560.3721721133
58749.1,6799559.69921782,0.000293613930309879,77325.942880958
58749.2,6799550.93732954,0.000298053366507163,78091.5126047671
58749.3,6799542.08912093,0.000302291743261535,78857.0813334641
58749.4,6799533.15459269,0.000306683335895019,79622.649057383
58749.5,6799524.13374421,0.000310555787158095,80388.2157667367
58749.6,6799515.02657501,0.000313801081156641,81153.7814516675
58749.7,6799505.83308349,0.000316887412798487,81919.3461025928
58749.8,6799496.55327178,0.000321966668126734,82684.9097100984
58749.9,6799487.18714376,0.000327217211141315,83450.4722640934
58750,6799477.73469751,0.00033146271854757,84216.0337553306
58750.1,6799468.19593188,0.000335394383514429,84981.594174344
58750.2,6799458.57084765,0.000339666636977944,85747.1535108354
58750.3,6799448.85944424,0.000343747631136656,86512.711754786
58750.4,6799439.06172241,0.00034795644954119,87278.2688964802
58750.5,6799429.17768153,0.000351645901143004,88043.8249261401
58750.6,6799419.20732112,0.000354701738689795,88809.3798338898
58750.7,6799409.15063952,0.000357644901741225,89574.9336101632
58750.8,6799399.00763911,0.000362567808226244,90340.4862455122
58750.9,6799388.77832373,0.000367578046182535,91106.0377299036
58751,6799378.4626913,0.000371615072762392,91871.5880540986
58751.1,6799368.06074071,0.00037535892540879,92637.1372086251
58751.2,6799357.5724728,0.000379396244278786,93402.6851831445
58751.3,6799346.99788696,0.000383257085235692,94168.2319676864
58751.4,6799336.33698402,0.000387217537276755,94933.7775524942
58751.5,6799325.58976333,0.000390657275085188,95699.3219278
58751.6,6799314.75622442,0.000393463046460783,96464.8650837102
58751.7,6799303.83636558,0.00039623060252898,97230.4070106636
58751.8,6799292.83018941,0.000400976124667242,97995.9476991839
58751.9,6799281.73769971,0.000405707894653142,98761.4871393116
58752,6799270.55889429,0.000409495526478739,99527.0253218111
